sample	group	batch	techgroup
s_50amol_1	1	1	1
s_50amol_2	1	1	1
s_50amol_3	1	2	1
s_125amol_1	1	2	2
s_125amol_2	1	1	2
s_125amol_3	1	1	2
s_250amol_1	1	2	3
s_250amol_2	1	2	3
s_250amol_3	1	1	3
s_500amol_1	2	1	4
s_500amol_2	2	2	4
s_500amol_3	2	2	4
s_2500amol_1	2	1	5
s_2500amol_2	2	1	5
s_2500amol_3	2	2	5
s_5000amol_1	2	2	6
s_5000amol_2	2	1	6
s_5000amol_3	2	1	6
s_12500amol_1	3	2	7
s_12500amol_2	3	2	7
s_12500amol_3	3	1	7
s_25000amol_1	3	1	8
s_25000amol_2	3	2	8
s_25000amol_3	3	2	8
s_50000amol_1	3	1	9
s_50000amol_2	3	1	9
s_50000amol_3	3	2	9
