sample	group	picked
s_50amol_1	1	FALSE
s_50amol_2	1	FALSE
s_50amol_3	1	FALSE
s_125amol_1	2	FALSE
s_125amol_2	2	FALSE
s_125amol_3	2	FALSE
s_250amol_1	3	FALSE
s_250amol_2	3	FALSE
s_250amol_3	3	FALSE
s_500amol_1	4	FALSE
s_500amol_2	4	FALSE
s_500amol_3	4	FALSE
s_2500amol_1	5	TRUE
s_2500amol_2	5	TRUE
s_2500amol_3	5	TRUE
s_5000amol_1	6	TRUE
s_5000amol_2	6	TRUE
s_5000amol_3	6	TRUE
s_12500amol_1	7	FALSE
s_12500amol_2	7	FALSE
s_12500amol_3	7	FALSE
s_25000amol_1	8	FALSE
s_25000amol_2	8	FALSE
s_25000amol_3	8	FALSE
s_50000amol_1	9	FALSE
s_50000amol_2	9	FALSE
s_50000amol_3	9	FALSE
