Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides s_12500amol_1	Peptides s_12500amol_2	Peptides s_12500amol_3	Peptides s_125amol_1	Peptides s_125amol_2	Peptides s_125amol_3	Razor + unique peptides s_12500amol_1	Razor + unique peptides s_12500amol_2	Razor + unique peptides s_12500amol_3	Razor + unique peptides s_125amol_1	Razor + unique peptides s_125amol_2	Razor + unique peptides s_125amol_3	Unique peptides s_12500amol_1	Unique peptides s_12500amol_2	Unique peptides s_12500amol_3	Unique peptides s_125amol_1	Unique peptides s_125amol_2	Unique peptides s_125amol_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type s_12500amol_1	Identification type s_12500amol_2	Identification type s_12500amol_3	Identification type s_125amol_1	Identification type s_125amol_2	Identification type s_125amol_3	Sequence coverage s_12500amol_1 [%]	Sequence coverage s_12500amol_2 [%]	Sequence coverage s_12500amol_3 [%]	Sequence coverage s_125amol_1 [%]	Sequence coverage s_125amol_2 [%]	Sequence coverage s_125amol_3 [%]	Intensity	Intensity s_12500amol_1	Intensity s_12500amol_2	Intensity s_12500amol_3	Intensity s_125amol_1	Intensity s_125amol_2	Intensity s_125amol_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A2VEC9-2|SSPO_HUMAN;A2VEC9|SSPO_HUMAN	A2VEC9-2|SSPO_HUMAN;A2VEC9|SSPO_HUMAN	1;1	1;1	1;1	;	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2	1.2	1.2	138.77	1314	1314;5147	0.0048828	1.8406	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	1.2	1.2	1.2	1.2	1.2	1.2	115150000	115597000	109302000	100314000	98182352	87241776	98702800	22				0	4722	True	4783	139392;139393;139394;139395;139396;139397;139398;139399;139400;139401;139402;139403;139404;139405;139406;139407;139408;139409;139410;139411;139412;139413;139414;139415	199725;199726;199727;199728;199729;199730;199731;199732;199733;199734;199735;199736;199737;199738;199739;199740;199741;199742;199743;199744;199745;199746	199737		
A5Z2X5|YP010_YEAST	A5Z2X5|YP010_YEAST	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22.2	22.2	22.2	7.9021	72	72	0	10.648	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	22.2	22.2	22.2	22.2	22.2	22.2	383450000	117092368	99896304	95537504	120003104	115310000	111234000	35				1	4018	True	4060	120029;120030;120031;120032;120033;120034;120035;120036;120037;120038;120039;120040;120041;120042;120043;120044;120045;120046;120047;120048;120049;120050;120051;120052;120053;120054;120055	173447;173448;173449;173450;173451;173452;173453;173454;173455;173456;173457;173458;173459;173460;173461;173462;173463;173464;173465;173466;173467;173468;173469;173470;173471;173472;173473;173474;173475;173476;173477;173478;173479;173480;173481	173477		
CON__P00761	CON__P00761	3	3	3		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	16.5	16.5	16.5	24.409	231	231	0	111.98	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.5	16.5	16.5	16.5	16.5	16.5	15545000000	401188000	388697984	401801984	359542016	351060000	354751008	301			+	2	3544;3991;6023	True;True;True	3582;4033;6100	106583;106584;106585;106586;106587;106588;106589;106590;106591;106592;106593;106594;106595;106596;106597;106598;106599;106600;106601;106602;106603;106604;106605;106606;106607;106608;106609;106610;106611;106612;106613;106614;106615;106616;106617;106618;106619;106620;106621;106622;106623;106624;106625;106626;106627;106628;106629;106630;106631;106632;106633;106634;106635;106636;106637;106638;119463;119464;119465;119466;119467;119468;119469;119470;119471;119472;119473;119474;119475;119476;119477;119478;119479;119480;119481;119482;119483;119484;119485;119486;119487;119488;119489;119490;181518;181519;181520;181521;181522;181523;181524;181525;181526;181527;181528;181529;181530;181531;181532;181533;181534;181535;181536;181537;181538;181539;181540;181541;181542;181543;181544	155549;155550;155551;155552;155553;155554;155555;155556;155557;155558;155559;155560;155561;155562;155563;155564;155565;155566;155567;155568;155569;155570;155571;155572;155573;155574;155575;155576;155577;155578;155579;155580;155581;155582;155583;155584;155585;155586;155587;155588;155589;155590;155591;155592;155593;155594;155595;155596;155597;155598;155599;155600;155601;155602;155603;155604;155605;155606;155607;155608;155609;155610;155611;155612;155613;155614;155615;155616;155617;155618;155619;155620;155621;155622;155623;155624;155625;155626;155627;155628;155629;155630;155631;155632;155633;155634;155635;155636;155637;155638;155639;155640;155641;155642;155643;155644;155645;155646;155647;155648;155649;155650;155651;155652;155653;155654;155655;155656;155657;155658;155659;155660;155661;155662;155663;155664;155665;155666;155667;155668;155669;155670;155671;155672;155673;155674;155675;155676;155677;155678;155679;155680;155681;155682;155683;155684;155685;155686;155687;155688;155689;155690;155691;155692;155693;155694;155695;155696;155697;155698;155699;155700;155701;155702;155703;155704;155705;155706;155707;155708;155709;155710;155711;155712;155713;155714;155715;155716;155717;155718;155719;155720;155721;155722;155723;155724;155725;155726;155727;155728;155729;155730;155731;155732;155733;155734;155735;155736;155737;155738;155739;155740;155741;155742;155743;155744;155745;155746;155747;155748;155749;155750;155751;155752;155753;155754;155755;155756;155757;155758;155759;155760;155761;155762;155763;155764;155765;155766;155767;155768;155769;155770;155771;155772;155773;155774;155775;155776;155777;155778;155779;155780;155781;155782;155783;172424;172425;172426;172427;172428;172429;172430;172431;172432;172433;172434;172435;172436;172437;172438;172439;172440;172441;172442;172443;172444;172445;172446;172447;172448;172449;172450;172451;172452;172453;172454;172455;172456;172457;172458;172459;172460;172461;264668;264669;264670;264671;264672;264673;264674;264675;264676;264677;264678;264679;264680;264681;264682;264683;264684;264685;264686;264687;264688;264689;264690;264691;264692;264693;264694;264695	155702;172436;264670		
CON__P01966	CON__P01966	3	3	1		1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.2	28.2	10.6	15.184	142	142	0	6.657							0	0	0	0	0	0	140240000	30600710	25456400	20077100	40609900	37849800	45287800	11			+	3	4189;5972;6149	True;True;True	4231;6047;6227	125162;125163;125164;125165;125166;125167;125168;125169;125170;180205;184862;184863;184864;184865;184866;184867;184868;184869;184870;184871	180656;263085;269262;269263;269264;269265;269266;269267;269268;269269;269270	180656;263085;269270		
P02768|ALBU_HUMAN;CON__P02768-1;P02768-3|ALBU_HUMAN;P02768-2|ALBU_HUMAN;CON__P02769	P02768|ALBU_HUMAN;CON__P02768-1;P02768-3|ALBU_HUMAN;P02768-2|ALBU_HUMAN	36;36;24;22;3	36;36;24;22;3	36;36;24;22;3	;;;	5	36	36	36	2	0	1	3	3	1	2	0	1	3	3	1	2	0	1	3	3	1	67.8	67.8	67.8	69.366	609	609;609;396;417;607	0	219.79	By matching		By matching	By matching	By matching	By matching	6.2	0	2.6	6.4	7.1	3.4	5940700000	90354400	100388000	85776600	144060000	151791008	172812992	656			+	4	6;24;70;375;586;637;639;716;990;1461;1710;1795;2472;3253;3298;3401;3414;3670;4044;4087;4095;4096;4225;4315;4772;4848;4849;4865;4868;5080;5191;5971;6102;6187;6385;6777	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	6;24;70;383;596;647;649;726;1001;1477;1478;1728;1814;2498;3287;3332;3438;3451;3709;4086;4129;4137;4138;4271;4272;4366;4833;4910;4911;4927;4930;5142;5255;6046;6180;6265;6468;6865	159;160;161;162;163;164;165;166;167;168;169;170;545;546;547;548;549;550;551;552;553;554;555;556;557;558;559;2641;2642;2643;2644;2645;2646;2647;2648;2649;2650;2651;2652;2653;2654;2655;2656;2657;2658;2659;2660;2661;2662;2663;2664;2665;2666;2667;11267;11268;11269;11270;11271;11272;11273;11274;11275;11276;11277;11278;11279;17848;17849;17850;17851;17852;17853;17854;17855;17856;17857;19315;19316;19317;19318;19319;19320;19321;19322;19323;19324;19325;19326;19327;19328;19329;19330;19331;19332;19333;19334;19335;19336;19337;19338;19339;19340;19368;19369;19370;19371;19372;19373;19374;19375;19376;19377;19378;19379;19380;19381;19382;19383;20914;20915;20916;20917;20918;20919;20920;29439;29440;29441;29442;29443;29444;29445;43490;43491;43492;43493;43494;43495;43496;43497;43498;43499;43500;43501;43502;43503;43504;43505;43506;43507;43508;51412;51413;51414;51415;51416;51417;51418;51419;51420;51421;51422;51423;51424;51425;51426;53602;53603;53604;53605;53606;53607;53608;53609;53610;53611;53612;53613;53614;53615;53616;74277;74278;74279;74280;74281;74282;74283;74284;74285;74286;74287;98776;98777;98778;98779;98780;98781;99972;99973;99974;99975;99976;99977;99978;99979;99980;99981;99982;99983;99984;99985;99986;99987;99988;99989;99990;99991;99992;99993;99994;99995;99996;99997;99998;99999;100000;100001;100002;100003;102391;102392;102393;102394;102395;102396;102397;102398;102399;102400;102401;102402;102403;102404;102405;102685;102686;102687;102688;102689;102690;102691;102692;102693;109767;109768;109769;109770;109771;120939;120940;120941;120942;120943;120944;120945;120946;120947;120948;120949;120950;120951;120952;120953;120954;120955;120956;120957;122108;122109;122110;122111;122112;122113;122114;122115;122116;122117;122118;122119;122120;122121;122122;122123;122338;122339;122340;122341;122342;122343;122344;126065;126066;126067;126068;126069;126070;126071;126072;126073;126074;126075;126076;128643;128644;128645;128646;128647;128648;128649;128650;128651;140518;140519;140520;140521;140522;140523;140524;140525;140526;140527;140528;140529;140530;142330;142331;142332;142333;142334;142335;142336;142337;142338;142339;142340;142341;142342;142343;142344;142345;142346;142347;142348;142349;142350;142351;142352;142353;142354;142355;142356;142357;142358;142359;142360;142361;142362;142363;142364;142365;142366;142367;142368;142369;142370;142371;142372;142373;142374;142375;142376;142377;142378;142379;142380;142381;142382;142383;142384;142385;142386;142387;142388;142389;142390;142391;142392;142393;142394;142395;142396;142397;142398;142399;142400;142401;142402;142403;142404;142405;142406;142407;142408;142409;142410;142411;142412;142413;142414;142415;142416;142417;142418;142419;142420;142421;142422;142423;142424;142425;142426;142427;142428;142429;142430;142431;142432;142433;142434;142435;142436;142437;142438;142439;142440;142441;142442;142443;142444;142445;142446;142447;142448;142449;142450;142451;142452;142734;142735;142736;142737;142738;142739;142740;142741;142742;142743;142744;142745;142746;142747;142748;142749;142750;142790;142791;142792;142793;142794;142795;142796;142797;142798;142799;142800;142801;142802;142803;142804;142805;142806;142807;142808;142809;142810;142811;142812;142813;142814;149614;149615;149616;149617;149618;149619;149620;149621;149622;149623;157508;180193;180194;180195;180196;180197;180198;180199;180200;180201;180202;180203;180204;183638;183639;183640;183641;183642;183643;183644;183645;183646;183647;183648;183649;183650;183651;183652;183653;183654;183655;183656;183657;183658;183659;183660;183661;183662;183663;183664;185878;185879;185880;191912;191913;191914;191915;191916;191917;191918;191919;191920;203818;203819;203820;203821;203822;203823;203824;203825;203826;203827;203828;203829;203830;203831;203832;203833;203834;203835	324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;873;874;875;876;877;878;879;880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;4260;4261;4262;4263;4264;4265;4266;4267;4268;4269;4270;4271;4272;4273;4274;4275;4276;4277;4278;4279;4280;4281;4282;4283;4284;4285;4286;4287;4288;4289;16221;16222;16223;16224;16225;16226;16227;16228;25638;25639;25640;25641;28425;28426;28427;28428;28429;28430;28431;28432;28433;28434;28435;28436;28437;28438;28507;28508;28509;28510;28511;28512;28513;28514;28515;28516;28517;28518;28519;28520;28521;28522;28523;28524;28525;28526;28527;28528;28529;28530;30308;30309;30310;30311;30312;30313;41223;41224;41225;41226;41227;41228;41229;41230;41231;41232;41233;41234;58430;58431;58432;58433;58434;58435;58436;58437;58438;58439;58440;58441;58442;58443;58444;58445;58446;58447;58448;58449;58450;58451;58452;58453;58454;58455;58456;58457;58458;58459;58460;58461;58462;58463;58464;58465;58466;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;72056;72057;72058;72059;72060;72061;72062;72063;72064;72065;72066;72067;72068;72069;72070;72071;75049;75050;75051;75052;75053;75054;75055;75056;75057;75058;75059;75060;75061;75062;75063;75064;75065;75066;75067;75068;75069;75070;75071;75072;75073;75074;75075;75076;75077;75078;75079;75080;75081;75082;75083;75084;107003;107004;107005;107006;143438;143439;143440;146201;146202;146203;146204;146205;146206;146207;146208;146209;146210;146211;146212;146213;146214;146215;146216;146217;146218;146219;146220;146221;146222;146223;146224;146225;146226;150122;150123;150124;150125;150126;150127;150128;150129;150130;150131;150132;150133;150134;150135;150136;150137;150138;150139;150140;150141;150142;150143;150144;150145;150146;150147;150148;150149;150420;159943;159944;159945;159946;159947;159948;159949;159950;159951;159952;159953;159954;159955;159956;159957;174453;174454;174455;174456;174457;174458;174459;174460;174461;174462;174463;174464;174465;174466;174467;174468;174469;174470;176445;176446;176447;176448;176449;176450;176451;176452;176453;176454;176455;176456;176457;176458;176459;176460;176461;176462;176463;176464;176465;176466;176467;176468;176469;176470;176471;176472;176473;176474;176475;176476;176477;176478;176479;176480;176481;176482;176483;176484;176485;176486;176487;176488;176489;176907;176908;182209;182210;182211;182212;182213;182214;182215;182216;185906;185907;185908;185909;185910;185911;185912;185913;200980;200981;200982;200983;200984;200985;200986;200987;200988;200989;200990;200991;200992;200993;200994;200995;200996;200997;200998;200999;201000;201001;203462;203463;203464;203465;203466;203467;203468;203469;203470;203471;203472;203473;203474;203475;203476;203477;203478;203479;203480;203481;203482;203483;203484;203485;203486;203487;203488;203489;203490;203491;203492;203493;203494;203495;203496;203497;203498;203499;203500;203501;203502;203503;203504;203505;203506;203507;203508;203509;203510;203511;203512;203513;203514;203515;203516;203517;203518;203519;203520;203521;203522;203523;203524;203525;203526;203527;203528;203529;203530;203531;203532;203533;203534;203535;203536;203537;203538;203539;203540;203541;203542;203543;203544;203545;203546;203547;203548;203549;203550;203551;203552;203553;203554;203555;203556;203557;203558;203909;203910;203911;203912;203913;203936;203937;203938;203939;203940;203941;203942;203943;203944;203945;203946;203947;203948;203949;203950;203951;203952;203953;203954;203955;203956;203957;203958;203959;203960;203961;203962;203963;203964;203965;203966;203967;203968;203969;203970;203971;203972;203973;203974;203975;203976;203977;203978;203979;203980;203981;203982;203983;203984;203985;203986;203987;203988;203989;203990;203991;203992;203993;203994;203995;203996;203997;216682;216683;216684;216685;216686;216687;216688;216689;216690;216691;216692;230419;263084;267479;267480;267481;267482;267483;267484;267485;267486;267487;267488;267489;267490;267491;267492;267493;267494;267495;267496;267497;267498;267499;267500;267501;267502;267503;271133;271134;271135;278881;278882;278883;278884;278885;278886;278887;278888;278889;278890;278891;278892;278893;298827;298828;298829;298830;298831;298832;298833;298834;298835;298836;298837;298838;298839;298840;298841;298842;298843;298844;298845;298846;298847	339;887;4279;16225;25638;28430;28525;30310;41229;58459;72057;75069;107006;143440;146226;150143;150420;159954;174463;176471;176907;176908;182215;185910;200996;203524;203555;203911;203996;216690;230419;263084;267496;271135;278886;298844	0;1;2;3	111;322;353;470
P04264|K2C1_HUMAN;CON__P04264;CON__ENSEMBL:ENSBTAP00000038253	P04264|K2C1_HUMAN;CON__P04264;CON__ENSEMBL:ENSBTAP00000038253	3;3;2	3;3;2	2;2;1	;;	3	3	3	2	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	5.6	5.6	3.7	66.038	644	644;644;606	0	60.02		By MS/MS	By MS/MS	By matching			0	1.9	1.9	1.9	0	0	130420000	232752000	242820000	221190000	484771008	433919008	510504000	15			+	5	1728;5147;5203	True;True;True	1747;5211;5267	51891;51892;51893;51894;51895;51896;51897;51898;51899;51900;51901;51902;51903;51904;51905;51906;51907;51908;51909;51910;51911;156376;156377;156378;156379;156380;156381;156382;156383;156384;156385;156386;157785;157786;157787;157788	72844;72845;72846;72847;72848;72849;72850;72851;72852;72853;72854;72855;72856;72857;228686;230668;230669;230670	72847;228686;230669		
P13645|K1C10_HUMAN;CON__P13645;CON__P02535-1;Q7Z3Z0|K1C25_HUMAN;CON__Q7Z3Z0;Q7Z3Y8|K1C27_HUMAN;CON__Q7Z3Y8;Q7Z3Y7|K1C28_HUMAN;CON__Q148H6;CON__Q7Z3Y7;CON__A2A4G1;Q7Z3Y9|K1C26_HUMAN;CON__Q7Z3Y9;CON__Q9Z2K1;P02533|K1C14_HUMAN;CON__P02533;P08779|K1C16_HUMAN;CON__P08779;CON__Q3ZAW8	P13645|K1C10_HUMAN;CON__P13645;CON__P02535-1	6;6;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1	6;6;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1	6;6;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1	;;	19	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7	8.7	8.7	58.826	584	584;593;570;450;450;459;459;464;464;486;456;468;468;469;472;472;473;473;474	0	42.33							0	0	0	0	0	0	75245000	232752000	242820000	221190000	484771008	433919008	510504000	34			+	6	311;669;3476;5313;5314;6467	True;True;True;True;True;True	319;679;3513;5377;5378;6551	9154;9155;9156;19907;19908;19909;104185;104186;104187;160615;160616;160617;160618;160619;160620;160621;160622;195050;195051;195052;195053;195054;195055;195056;195057	13571;13572;13573;13574;13575;13576;13577;13578;13579;28968;152427;152428;152429;152430;152431;152432;152433;152434;152435;234494;234495;234496;234497;234498;234499;234500;234501;234502;234503;234504;284676;284677;284678;284679;284680	13578;28968;152427;234499;234504;284680		
P35900|K1C20_HUMAN;CON__P35900	P35900|K1C20_HUMAN;CON__P35900	1;1	1;1	1;1	;	2	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	2.4	2.4	2.4	48.486	424	424;424	0.001992	1.9741	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.4	0	2.4	2.4	2.4	2.4	373410000	30481300	36562000	39531100	46069600	58039700	36128088	37			+	7	4727	True	4788	139549;139550;139551;139552;139553;139554;139555;139556;139557;139558;139559;139560;139561;139562;139563;139564;139565;139566;139567;139568;139569;139570	199900;199901;199902;199903;199904;199905;199906;199907;199908;199909;199910;199911;199912;199913;199914;199915;199916;199917;199918;199919;199920;199921;199922;199923;199924;199925;199926;199927;199928;199929;199930;199931;199932;199933;199934;199935;199936	199909		
P35908|K22E_HUMAN;CON__P35908;CON__Q8VED5;Q5XKE5|K2C79_HUMAN;CON__Q5XKE5;O95678|K2C75_HUMAN;CON__O95678;P48668|K2C6C_HUMAN;P04259|K2C6B_HUMAN;P02538|K2C6A_HUMAN;CON__P48668;CON__P04259;CON__P02538;P13647|K2C5_HUMAN;CON__P13647	P35908|K22E_HUMAN;CON__P35908;CON__Q8VED5;Q5XKE5|K2C79_HUMAN;CON__Q5XKE5;O95678|K2C75_HUMAN;CON__O95678;P48668|K2C6C_HUMAN;P04259|K2C6B_HUMAN;P02538|K2C6A_HUMAN;CON__P48668;CON__P04259;CON__P02538;P13647|K2C5_HUMAN;CON__P13647	2;2;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	;;;;;;;;;;;;;;	15	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	1.9	1.9	65.432	639	639;645;531;535;535;551;551;564;564;564;564;564;564;590;590	0.001002	2.0339		By matching	By matching				0	1.9	1.9	0	0	0	0	9698970	10369200	7648380	15265720	16576070	19681540	1			+	8	1728;4430	False;True	1747;4485	51891;51892;51893;51894;51895;51896;51897;51898;51899;51900;51901;51902;51903;51904;51905;51906;51907;51908;51909;51910;51911;131602	72844;72845;72846;72847;72848;72849;72850;72851;72852;72853;72854;72855;72856;72857;189854	72847;189854		
O00762|UBE2C_HUMAN;O00762-2|UBE2C_HUMAN;O00762-3|UBE2C_HUMAN;O00762-4|UBE2C_HUMAN	O00762|UBE2C_HUMAN;O00762-2|UBE2C_HUMAN;O00762-3|UBE2C_HUMAN	9;6;6;4	9;6;6;4	9;6;6;4	;;	4	9	9	9	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	75.4	75.4	75.4	19.652	179	179;140;150;161	0	82.252	By matching	By matching			By matching	By matching	6.1	6.1	0	0	7.3	6.1	2526200000	388051008	374689984	414495008	398161984	413579008	444926016	151				9	505;901;1751;2103;3908;3968;5699;6630;6640	True;True;True;True;True;True;True;True;True	515;911;1770;2125;3949;4010;5769;6718;6728	14759;14760;14761;14762;14763;14764;14765;14766;14767;14768;14769;14770;14771;14772;14773;14774;14775;14776;14777;14778;14779;14780;14781;25546;25547;25548;25549;25550;25551;25552;25553;25554;25555;25556;25557;25558;25559;25560;25561;25562;25563;25564;52579;52580;52581;52582;52583;52584;52585;52586;52587;52588;52589;52590;62294;62295;62296;62297;62298;62299;62300;62301;62302;62303;62304;62305;62306;62307;62308;62309;62310;62311;117327;117328;117329;117330;117331;117332;117333;117334;117335;117336;117337;117338;118921;118922;118923;118924;118925;118926;118927;118928;118929;118930;118931;118932;118933;118934;118935;118936;118937;118938;118939;171835;171836;171837;171838;171839;171840;171841;171842;171843;171844;171845;171846;171847;171848;171849;171850;171851;171852;171853;171854;171855;171856;171857;199398;199399;199400;199401;199402;199403;199404;199405;199406;199407;199408;199409;199702;199703;199704;199705;199706;199707;199708;199709	22024;22025;22026;22027;22028;22029;22030;22031;22032;22033;22034;22035;22036;22037;22038;22039;22040;22041;22042;22043;22044;22045;22046;37009;37010;37011;37012;37013;37014;37015;37016;37017;37018;37019;37020;37021;37022;37023;37024;37025;37026;73810;73811;73812;73813;73814;73815;73816;73817;73818;73819;73820;86791;86792;86793;86794;86795;86796;86797;86798;86799;86800;86801;86802;86803;86804;86805;86806;86807;86808;86809;86810;86811;86812;169257;169258;169259;169260;169261;169262;169263;169264;169265;169266;169267;169268;169269;171782;171783;171784;171785;171786;171787;171788;171789;171790;171791;171792;171793;171794;171795;171796;171797;171798;171799;171800;171801;171802;171803;251759;251760;251761;251762;251763;251764;251765;251766;251767;251768;251769;251770;251771;251772;251773;251774;251775;251776;290963;290964;290965;290966;290967;290968;290969;291405;291406;291407;291408;291409;291410;291411;291412;291413;291414;291415;291416;291417;291418;291419;291420;291421;291422	22046;37020;73815;86805;169261;171792;251772;290964;291416	4;5;6	40;43;44
